word,frequency
trumptampa,2
flipfloridablue,3
florida,191
trumprallytampa,2
sarasota,21
tampabay,74
stpete,118
clearwater,22
lakeokeechobee,4
sunrise,4
annamariaisland,2
manateebeach,2
clearwaterbeach,14
beach,23
lovefl,18
pinellas,21
gulfofmexico,8
stpetebeach,36
madeirabeach,17
siestakey,2
fl,7
flwx,20
tampa,46
capecoral,2
ptcharlotte,2
marcoisland,2
manatees,7
stpetersburg,65
wflatv,1
beaches,8
paradise,2
visitflorida,10
fish,27
florida…,2
pinellascounty,20
saintpetersburg,1
swfl,8
captiva,3
fortmyers,2
floridabeaches,21
ilovefl,1
fort,1
hillsborough,2
fortdesoto,2
visitfl,6
flgov,2
floridas,6
rip,3
pinellasbeaches,14
madeira,5
florida’s,3
,7
indianrocks,2
indianshores,2
big,2
sugar,3
gulfcoast,4
visitfloirda,1
floridatourism,6
manatee,9
sad,2
dead,5
gulfsmell,1
sunset,6
epa,1
indianrocksbeach,1
surf,1
fltourism,2
wakeupflorida,2
costofliving,1
floridafishing,1
tampabayfishing,1
egmontkey,1
flsen,2
pinellasbeachs,2
hashtagflorida,1
atlantic,1
irb,1
movingtofloridahomes,1
stpetersburgbeach,2
naplesflorida,1
ftdesoto,2
stpetersburgfl,1
floridalife,1
hillsboroughfl,1
manateeappreciationday,3
gulf,1
bradenton,3
miami,2
orlando,4
lakeland,1
southflorida,1
tampabayrays,1
halloweencandy,1
bayscallops,1
annamaria,2
lakeo,2
savetampabay,2
flapol,7
tarpon,2
theunicornfloridian,1
flogrown,1
flwater,1
world,1
dontvisitflorida,1
end,1
flpol,2
tampabeaches,1
flora,1
new,2
savefrenchmanbay,4
turnfloridablue,2
fla,1
rofl,1
water,2
imagineclearwater,2
imissbasketball,1
sand,1
floridacup,1
dondesantisflorida,1
pompano,2
petersburg,1
floridaman,1
saveourbay,1
brown,2
protectingfltogether,4
tampastpetersburg,2
demandcleanwaterfl,1
killingfl,2
jacksonville,1
flpolitics,1
fridaysforflorida,1
unitedforflorida,1
dontgotoflorida,1
surfside,1
fox35,1
floridahasproblems,1
bocaciega,1
savefloridvotedemocrat,1
desantisbetrayedflorida,1
votefloridabluein22,1
tampabayarea,1
gulfport,1
gulfbeaches,2
pinellascountybeaches,1
floridathisweek,2
loveflorida,1
sydney,1
sanford,1
honeymoonisland,2
dunedin,2
saveflorida,1
noticiastampahoy,1
tigerbay,1
kenforflorida,2
snap,1
ian,1
