word,frequency,normalized_frequency
xflteamnames,1,0.1485884101040119
flwx,28,4.160475482912332
tampabay,673,100.0
florida,554,82.31797919762258
southwestflorida,2,0.2971768202080238
tampa,249,36.99851411589896
floridas,37,5.49777117384844
trumptampa,6,0.8915304606240713
flintwatercrisis,1,0.1485884101040119
lovefl,61,9.063893016344725
sarasota,127,18.87072808320951
bradenton,12,1.7830609212481425
hillsborough,15,2.2288261515601784
annamariaisland,7,1.040118870728083
floridawatercrisis,1,0.1485884101040119
stpete,52,7.726597325408618
clearwater,27,4.011887072808321
flapol,28,4.160475482912332
manatees,26,3.863298662704309
pmtampabay,9,1.337295690936107
orlando,61,9.063893016344725
palmbeach,17,2.526002971768202
miami,58,8.618127786032689
miamibeach,17,2.526002971768202
keywest,13,1.9316493313521546
pinellas,36,5.349182763744428
lakeokeechobee,11,1.634472511144131
fortmyers,8,1.188707280832095
apalachicola,3,0.44576523031203563
destin,4,0.5943536404160475
evil,1,0.1485884101040119
manatee,33,4.903417533432393
tampabays,2,0.2971768202080238
beaches,19,2.823179791976226
gulfofmexico,27,4.011887072808321
epa,4,0.5943536404160475
,8,1.188707280832095
august12th,2,0.2971768202080238
englewood,3,0.44576523031203563
venice,7,1.040118870728083
venicebeach,2,0.2971768202080238
sunsets,2,0.2971768202080238
indianshores,2,0.2971768202080238
fla,3,0.44576523031203563
stpetebeach,12,1.7830609212481425
madeirabeach,2,0.2971768202080238
siestakey,14,2.080237741456166
praying4fl,1,0.1485884101040119
restoretheeverglades,1,0.1485884101040119
longboatkey,4,0.5943536404160475
fish,36,5.349182763744428
fllife,1,0.1485884101040119
fl,15,2.2288261515601784
florida…,1,0.1485884101040119
flgov,13,1.9316493313521546
flsen,12,1.7830609212481425
fox35,3,0.44576523031203563
gulfharbors,1,0.1485884101040119
scottforflgovernor2018,1,0.1485884101040119
flipitblue,2,0.2971768202080238
floride,4,0.5943536404160475
walkerforfl,1,0.1485884101040119
progress,1,0.1485884101040119
marcoisland,4,0.5943536404160475
capecoral,3,0.44576523031203563
ptcharlotte,2,0.2971768202080238
gulf,4,0.5943536404160475
floridamore,1,0.1485884101040119
beach,19,2.823179791976226
stpetersburg,29,4.3090638930163445
florida’s,17,2.526002971768202
jacksonville,31,4.606240713224369
tallahassee,8,1.188707280832095
floridatourism,5,0.7429420505200593
paradise,2,0.2971768202080238
naples,17,2.526002971768202
heat,1,0.1485884101040119
summer,3,0.44576523031203563
wfla,1,0.1485884101040119
lakeo,1,0.1485884101040119
floridaprimary,2,0.2971768202080238
everglades,7,1.040118870728083
swfl,90,13.37295690936107
miamidade,5,0.7429420505200593
miamifl,2,0.2971768202080238
parkland,3,0.44576523031203563
staugustine,1,0.1485884101040119
pensacola,9,1.337295690936107
captiva,1,0.1485884101040119
visitflorida,52,7.726597325408618
saveourgulf,1,0.1485884101040119
floridaalgaecrisis,1,0.1485884101040119
gulfcoast,31,4.606240713224369
siesta,2,0.2971768202080238
tampabay…,1,0.1485884101040119
floridabeaches,34,5.052005943536404
nationalbeachday,1,0.1485884101040119
votebluetosaveflorida,3,0.44576523031203563
ilovefl,5,0.7429420505200593
rivers,3,0.44576523031203563
clearwaterbeach,20,2.9717682020802374
rt,1,0.1485884101040119
flpolitics,4,0.5943536404160475
westernflorida,1,0.1485884101040119
visitfl,7,1.040118870728083
pinellascounty,20,2.9717682020802374
floridamasternaturalist,1,0.1485884101040119
visitfloirda,1,0.1485884101040119
amtampabay,2,0.2971768202080238
