word,frequency,normalized_frequency
dovedailyupdate,2,28.57142857142857
stilthouse,1,14.285714285714285
fwc,1,14.285714285714285
mondaymotivation,1,14.285714285714285
whales,1,14.285714285714285
animals,1,14.285714285714285
oceans,1,14.285714285714285
pollution,1,14.285714285714285
wtsp,1,14.285714285714285
smallbiz,1,14.285714285714285
digitalshort,2,28.57142857142857
pcso,1,14.285714285714285
dukeenergy,1,14.285714285714285
goodmorningsuncoast,2,28.57142857142857
brasherpark,2,28.57142857142857
fishinglife,1,14.285714285714285
snook,1,14.285714285714285
catchandrelease,1,14.285714285714285
conservation…,1,14.285714285714285
30a,1,14.285714285714285
kills,1,14.285714285714285
pineypoint,2,28.57142857142857
googlealerts,7,100.0
sportscoastscalloping,2,28.57142857142857
