word,frequency,normalized_frequency
bluewave2018,2,3.3333333333333335
billnelsonforsenate,2,3.3333333333333335
saveouroceans,7,11.666666666666666
nevertrump,2,3.3333333333333335
neverscott,2,3.3333333333333335
resist,2,3.3333333333333335
vetsresistsquadron,2,3.3333333333333335
trumpistheenemyofthepeople,2,3.3333333333333335
handsalongthewater,3,5.0
beachreport,2,3.3333333333333335
upwith,6,10.0
wtsp,5,8.333333333333332
johnspass,4,6.666666666666667
madierabeach,2,3.3333333333333335
greenalgae,2,3.3333333333333335
tomorrowmorning,2,3.3333333333333335
bethere,2,3.3333333333333335
showyoucare,2,3.3333333333333335
sealife,2,3.3333333333333335
vspc…,3,5.0
fwc,6,10.0
wewantourbeachesback,1,1.6666666666666667
fixthealgaeblooms,1,1.6666666666666667
algalbloom,1,1.6666666666666667
kbrevis,1,1.6666666666666667
algae,23,38.333333333333336
wftv,1,1.6666666666666667
tuckercarlson,1,1.6666666666666667
sprr,1,1.6666666666666667
beachraceseries,1,1.6666666666666667
ftmeyers,2,3.3333333333333335
gcl,2,3.3333333333333335
cedrdigital,2,3.3333333333333335
marine,2,3.3333333333333335
mammal,2,3.3333333333333335
toxicbloom,2,3.3333333333333335
bouchercon2018,1,1.6666666666666667
stpetes,1,1.6666666666666667
bluealgae,1,1.6666666666666667
breaking,4,6.666666666666667
vacationgoals,2,3.3333333333333335
livingthedream,2,3.3333333333333335
undertow💋💕👣🍹🏖,2,3.3333333333333335
csic,1,1.6666666666666667
vspc,1,1.6666666666666667
sendto10,4,6.666666666666667
bigsugar,5,8.333333333333332
pollution,14,23.333333333333332
votethemout,2,3.3333333333333335
sanibel,5,8.333333333333332
labordayweekend,2,3.3333333333333335
toxicalgea,4,6.666666666666667
icymi,2,3.3333333333333335
toxicalgae,5,8.333333333333332
beachbums,1,1.6666666666666667
stpetesbeach,1,1.6666666666666667
topratedbeachs,1,1.6666666666666667
adventuretime,1,1.6666666666666667
travel,4,6.666666666666667
travelcouple,1,1.6666666666666667
letsgetlosttogether,1,1.6666666666666667
goodtimes…,1,1.6666666666666667
bluewave,1,1.6666666666666667
fall2018,1,1.6666666666666667
hot,1,1.6666666666666667
trumpmaga,1,1.6666666666666667
rickscott,5,8.333333333333332
saltlife,4,6.666666666666667
msm,2,3.3333333333333335
scams,1,1.6666666666666667
vacation,7,11.666666666666666
erictrump’s,1,1.6666666666666667
surfshop,2,3.3333333333333335
surfing,2,3.3333333333333335
terrible,1,1.6666666666666667
filletoffish,1,1.6666666666666667
sowal,1,1.6666666666666667
