word,frequency,normalized_frequency
pictures,2,2.0202020202020203
dolphins,26,26.262626262626267
marinelife,10,10.1010101010101
sealife,4,4.040404040404041
caspersen,2,2.0202020202020203
bucs,1,1.0101010101010102
buccaneers,2,2.0202020202020203
sportsroadhouse,1,1.0101010101010102
springbreak2018,2,2.0202020202020203
morningedtion,2,2.0202020202020203
sayfie,17,17.17171717171717
demforce,2,2.0202020202020203
bluewave2018,8,8.080808080808081
bluetsunami,4,4.040404040404041
globalwarming,4,4.040404040404041
savetheplanet,2,2.0202020202020203
coquina,4,4.040404040404041
beachlife,12,12.121212121212121
vacation,4,4.040404040404041
upwith,8,8.080808080808081
ocean,16,16.161616161616163
turtletuesday,1,1.0101010101010102
neverthelessshepersisted,1,1.0101010101010102
sendthewatersouth,2,2.0202020202020203
bluegreenalgae,6,6.0606060606060606
bullsugar,3,3.0303030303030303
protectwhatyoulove,3,3.0303030303030303
saveourocean,1,1.0101010101010102
deadfish,36,36.36363636363637
poison,2,2.0202020202020203
disaster,11,11.11111111111111
stink,1,1.0101010101010102
gross,1,1.0101010101010102
stopdraining,1,1.0101010101010102
placida,5,5.05050505050505
ruinedbeaches,1,1.0101010101010102
manmade,4,4.040404040404041
663coastalyomper,6,6.0606060606060606
algae,68,68.68686868686868
sargassum,1,1.0101010101010102
pollution,85,85.85858585858585
bestsideoutside,4,4.040404040404041
kills,2,2.0202020202020203
deadfiles,1,1.0101010101010102
saveourseas,4,4.040404040404041
whatilearnedtoday,1,1.0101010101010102
runoff,5,5.05050505050505
rickscott,62,62.62626262626263
cleanwater,25,25.252525252525253
nodumping,2,2.0202020202020203
snook,3,3.0303030303030303
centropomusundecimalis,1,1.0101010101010102
allthefish,1,1.0101010101010102
iguessilljustdrinkforvacation,1,1.0101010101010102
waterfront,1,1.0101010101010102
swimming,1,1.0101010101010102
swimmingsuit,1,1.0101010101010102
srqpost,4,4.040404040404041
saveourbeaches,3,3.0303030303030303
a…,1,1.0101010101010102
mytown,1,1.0101010101010102
investigativejournalism,2,2.0202020202020203
cleannotgreen,2,2.0202020202020203
seaturtles,5,5.05050505050505
motemarinelab,3,3.0303030303030303
weatherchannel,2,2.0202020202020203
travel,12,12.121212121212121
environment,37,37.37373737373738
fishkill,30,30.303030303030305
airbnb,1,1.0101010101010102
governor,2,2.0202020202020203
domino,1,1.0101010101010102
protest,4,4.040404040404041
republican,2,2.0202020202020203
protectourbeaches,2,2.0202020202020203
toxic2018,1,1.0101010101010102
suncoast,15,15.151515151515152
ftmyerssanibel,1,1.0101010101010102
turtlebeach,11,11.11111111111111
yachtclub,3,3.0303030303030303
puntarassa,3,3.0303030303030303
summerofdeath,13,13.131313131313133
stumppass,1,1.0101010101010102
bigoil,1,1.0101010101010102
ounceprotectionworthpoundcure,1,1.0101010101010102
dosomethingordontbother,1,1.0101010101010102
whosepocketareyouin,1,1.0101010101010102
urnot4us,1,1.0101010101010102
sarsota,1,1.0101010101010102
algea,1,1.0101010101010102
toxic,9,9.090909090909092
turtles,9,9.090909090909092
srq,16,16.161616161616163
ashamed,2,2.0202020202020203
closingthebeaches,2,2.0202020202020203
bigsugar,83,83.83838383838383
bp,2,2.0202020202020203
oilspillussugar,2,2.0202020202020203
sanibel,76,76.76767676767676
nightside,2,2.0202020202020203
highwaytohell,1,1.0101010101010102
santibel,1,1.0101010101010102
algaebloom,29,29.292929292929294
sugarsellout,4,4.040404040404041
wrda,1,1.0101010101010102
sendwatersouth,1,1.0101010101010102
southwest,1,1.0101010101010102
climatechange,28,28.28282828282828
wtsp,15,15.151515151515152
motherearth,2,2.0202020202020203
thursday,4,4.040404040404041
siestabeach,9,9.090909090909092
notscott,5,5.05050505050505
watchthewater,1,1.0101010101010102
votebillnelson,1,1.0101010101010102
voteblue2018,7,7.07070707070707
readlocal,4,4.040404040404041
talkwalkeralerts,1,1.0101010101010102
ecology,9,9.090909090909092
fishing,14,14.14141414141414
saltlife,5,5.05050505050505
seaworld,2,2.0202020202020203
globalwarmingvacation,1,1.0101010101010102
squirrels,1,1.0101010101010102
voteblue,28,28.28282828282828
seaturtle,4,4.040404040404041
mote,7,7.07070707070707
newpass,1,1.0101010101010102
longobat,1,1.0101010101010102
enoughisenough,2,2.0202020202020203
estereo,3,3.0303030303030303
tourism,11,11.11111111111111
saveourcoast,2,2.0202020202020203
savetheshore,2,2.0202020202020203
destruction,3,3.0303030303030303
piolife,1,1.0101010101010102
lesm,1,1.0101010101010102
cyanobacteria,3,3.0303030303030303
greenfilm,1,1.0101010101010102
greensludge,1,1.0101010101010102
canals,1,1.0101010101010102
atlanticocean,1,1.0101010101010102
islesurfandsup,1,1.0101010101010102
annamarie,1,1.0101010101010102
weekendedition,2,2.0202020202020203
boquina,1,1.0101010101010102
bff,1,1.0101010101010102
lovemyfriends,1,1.0101010101010102
boatlife,1,1.0101010101010102
dolphinviews,1,1.0101010101010102
gmtb,2,2.0202020202020203
nature,8,8.080808080808081
conserve,2,2.0202020202020203
wildlife,12,12.121212121212121
climatechangeisreal,3,3.0303030303030303
wftv,10,10.1010101010101
handsalongthewater,14,14.14141414141414
goliathgrouper,2,2.0202020202020203
wonderful,1,1.0101010101010102
livingthedream,1,1.0101010101010102
toxic18,19,19.19191919191919
goodpeople,1,1.0101010101010102
gop,9,9.090909090909092
nra,1,1.0101010101010102
candidates,1,1.0101010101010102
mote’s,2,2.0202020202020203
beachreport,4,4.040404040404041
repost,3,3.0303030303030303
coquinabeach,5,5.05050505050505
toxicalgae,72,72.72727272727273
brokenpier,1,1.0101010101010102
skb,1,1.0101010101010102
usa,16,16.161616161616163
documentary,1,1.0101010101010102
doc…,1,1.0101010101010102
deadshiteverywhere,1,1.0101010101010102
motemarine,5,5.05050505050505
bringscienceback,2,2.0202020202020203
deepwaterhorizon,1,1.0101010101010102
rickscotthastogo,2,2.0202020202020203
dovedailyupdate,7,7.07070707070707
fwc,9,9.090909090909092
noaa,1,1.0101010101010102
sanibelisland,3,3.0303030303030303
bigtrout,1,1.0101010101010102
troutfishing,1,1.0101010101010102
family,1,1.0101010101010102
fishing🎣,2,2.0202020202020203
fishing…,1,1.0101010101010102
conservation,5,5.05050505050505
perfect,1,1.0101010101010102
onlocation,1,1.0101010101010102
work,2,2.0202020202020203
prints,1,1.0101010101010102
wallart,1,1.0101010101010102
artwork,1,1.0101010101010102
palmtrees,1,1.0101010101010102
frondlover,1,1.0101010101010102
bluesky,1,1.0101010101010102
travel…,1,1.0101010101010102
votebluetosaveamerica,2,2.0202020202020203
rodnreel,1,1.0101010101010102
lidobeach,11,11.11111111111111
maga,1,1.0101010101010102
parisagreement,1,1.0101010101010102
senditsouth,2,2.0202020202020203
rickscottsucks,2,2.0202020202020203
lonboatkey,1,1.0101010101010102
tracyfanara,2,2.0202020202020203
saveourenvironment,1,1.0101010101010102
saveouroceans,2,2.0202020202020203
toxicplanet,1,1.0101010101010102
marearoja,1,1.0101010101010102
dolphin,12,12.121212121212121
thisisacrisis,1,1.0101010101010102
toxicwater,2,2.0202020202020203
cottagecrew,2,2.0202020202020203
cottageon,1,1.0101010101010102
moscow,1,1.0101010101010102
asbestos,1,1.0101010101010102
impeachtrump,4,4.040404040404041
resist,10,10.1010101010101
fightlikeamother,1,1.0101010101010102
byegop,1,1.0101010101010102
wilburross,1,1.0101010101010102
outbreak,1,1.0101010101010102
havoc,1,1.0101010101010102
marine…,1,1.0101010101010102
sos,1,1.0101010101010102
kissmyass,1,1.0101010101010102
billnelson,2,2.0202020202020203
southjetty,1,1.0101010101010102
941,1,1.0101010101010102
turtle,5,5.05050505050505
necropsies,2,2.0202020202020203
kareniabrevis,11,11.11111111111111
hurricaneseason,1,1.0101010101010102
storm,1,1.0101010101010102
blockchain,1,1.0101010101010102
cryptoeconomics,1,1.0101010101010102
breaking,10,10.1010101010101
vintage,1,1.0101010101010102
eyes,2,2.0202020202020203
ophthalmologist,2,2.0202020202020203
eyehealth,2,2.0202020202020203
eyeexams,2,2.0202020202020203
eyecare,2,2.0202020202020203
icare,2,2.0202020202020203
insiderthreat,2,2.0202020202020203
scuba,10,10.1010101010101
feedly,8,8.080808080808081
wow,2,2.0202020202020203
plague,1,1.0101010101010102
karenia,7,7.07070707070707
vote,5,5.05050505050505
lifeadvicein5words,1,1.0101010101010102
eastcoast,3,3.0303030303030303
oceans,4,4.040404040404041
sararasota,1,1.0101010101010102
naturalselectionweedingouttheweaklings,1,1.0101010101010102
thanksobama,1,1.0101010101010102
wapofor,1,1.0101010101010102
dist73,1,1.0101010101010102
candidate,1,1.0101010101010102
republicanparty,1,1.0101010101010102
basta,3,3.0303030303030303
agriculture,1,1.0101010101010102
handsalongwater,1,1.0101010101010102
hab,7,7.07070707070707
deadsealife,4,4.040404040404041
ringlingbros,2,2.0202020202020203
circus,2,2.0202020202020203
smellssobad,2,2.0202020202020203
stevebannon,1,1.0101010101010102
toxicwaste,1,1.0101010101010102
drum,1,1.0101010101010102
heal,1,1.0101010101010102
freedom,2,2.0202020202020203
beauty,1,1.0101010101010102
bocapass,1,1.0101010101010102
thingsthatmakeyouthink,1,1.0101010101010102
poisons,2,2.0202020202020203
summersofdeath,5,5.05050505050505
cleanbeach,1,1.0101010101010102
fishkills,5,5.05050505050505
rapture,1,1.0101010101010102
handsacrossthewater,1,1.0101010101010102
11,2,2.0202020202020203
update,4,4.040404040404041
p2,2,2.0202020202020203
respiratory,3,3.0303030303030303
traveltuesday,1,1.0101010101010102
republicans,6,6.0606060606060606
shadyrickscott,1,1.0101010101010102
occupy,1,1.0101010101010102
independents,1,1.0101010101010102
ourrevolution,1,1.0101010101010102
inmatelabor,1,1.0101010101010102
fires,1,1.0101010101010102
lasttweet,1,1.0101010101010102
toxins,4,4.040404040404041
crab,4,4.040404040404041
letmypeoplego,1,1.0101010101010102
jews,1,1.0101010101010102
israel,1,1.0101010101010102
areyoulisteningyet,1,1.0101010101010102
shellgame,1,1.0101010101010102
stjamescity,1,1.0101010101010102
united,1,1.0101010101010102
handsacrossthesands,1,1.0101010101010102
polluted,2,2.0202020202020203
itsgottastop,1,1.0101010101010102
climate,3,3.0303030303030303
rondesantes,2,2.0202020202020203
badlook,1,1.0101010101010102
dobetter,1,1.0101010101010102
semanticsisnotscience,1,1.0101010101010102
ftmeyers,2,2.0202020202020203
gcl,2,2.0202020202020203
cedrdigital,2,2.0202020202020203
stormhour,2,2.0202020202020203
skytower,2,2.0202020202020203
votethemout,8,8.080808080808081
wildlifetrapper,1,1.0101010101010102
justoneofourmanyservices,1,1.0101010101010102
stinks,2,2.0202020202020203
smellsbad,1,1.0101010101010102
realestate,6,6.0606060606060606
birdkey,1,1.0101010101010102
paradiselost,1,1.0101010101010102
fuckparisaccord,1,1.0101010101010102
cleanwatermovement,1,1.0101010101010102
pizza,2,2.0202020202020203
pepperoni,2,2.0202020202020203
pepperonipizza,2,2.0202020202020203
greekpizza,2,2.0202020202020203
fountainsoda,2,2.0202020202020203
mountaindew,2,2.0202020202020203
the941,2,2.0202020202020203
sjpizza,2,2.0202020202020203
theothersjp,2,2.0202020202020203
sjp,2,2.0202020202020203
lunch,2,2.0202020202020203
lifestyle,2,2.0202020202020203
freepress,2,2.0202020202020203
thankyou,4,4.040404040404041
schoolsafety,2,2.0202020202020203
epipen,2,2.0202020202020203
danger,3,3.0303030303030303
googlealerts,99,100.0
live,4,4.040404040404041
webcam,2,2.0202020202020203
kbrevis,8,8.080808080808081
caoecoral,2,2.0202020202020203
cayocosta,2,2.0202020202020203
capehaze,2,2.0202020202020203
changetheref,2,2.0202020202020203
bluewave,11,11.11111111111111
teamlevine,2,2.0202020202020203
mrsa,3,3.0303030303030303
dontgotorhebeach,1,1.0101010101010102
holdsugaraccountable,1,1.0101010101010102
accountable,1,1.0101010101010102
sugarcanefarmers,1,1.0101010101010102
goneontoolong,1,1.0101010101010102
sewage,12,12.121212121212121
