word,frequency,normalized_frequency
turtles,4,1.2539184952978055
fertilizer,15,4.702194357366771
ocean,12,3.761755485893417
bluewave,8,2.507836990595611
dolphins,5,1.5673981191222568
puertorico,4,1.2539184952978055
algae,57,17.86833855799373
trumpdoesnotcare,1,0.3134796238244514
finsup,1,0.3134796238244514
greenslime,1,0.3134796238244514
repost,2,0.6269592476489028
toxic18,2,0.6269592476489028
upwith,6,1.8808777429467085
sayfie,6,1.8808777429467085
alwx,2,0.6269592476489028
breaking,15,4.702194357366771
saveourenvironment,1,0.3134796238244514
podcast,1,0.3134796238244514
disgusted,1,0.3134796238244514
humansruiningnature,1,0.3134796238244514
savethesaltlife,1,0.3134796238244514
aquaticlifeisindanger,1,0.3134796238244514
help,2,0.6269592476489028
republicans,9,2.8213166144200628
fishing,41,12.852664576802509
marearoja,9,2.8213166144200628
thisisacrisis,1,0.3134796238244514
toxicwater,6,1.8808777429467085
moscow,1,0.3134796238244514
publichealth,9,2.8213166144200628
environmental,5,1.5673981191222568
knowyourmarket,2,0.6269592476489028
tech,4,1.2539184952978055
startup,2,0.6269592476489028
innovate,2,0.6269592476489028
business,2,0.6269592476489028
response,2,0.6269592476489028
gobucs,2,0.6269592476489028
sigh,2,0.6269592476489028
wftv,6,1.8808777429467085
handsalongthewater,2,0.6269592476489028
suncoast,6,1.8808777429467085
eastcoast,2,0.6269592476489028
usa,5,1.5673981191222568
oceans,10,3.1347962382445136
picoftheday,2,0.6269592476489028
thepowerofprayer,1,0.3134796238244514
qanon,1,0.3134796238244514
wwg1wga,1,0.3134796238244514
maga,6,1.8808777429467085
trump,7,2.19435736677116
thestorm,1,0.3134796238244514
beanpoint,2,0.6269592476489028
wewantourbeachesback,1,0.3134796238244514
fixthealgaeblooms,1,0.3134796238244514
wisdomforourleaders,1,0.3134796238244514
bigsugar,39,12.225705329153605
saltlife,5,1.5673981191222568
fishing🎣,1,0.3134796238244514
rickscott,25,7.836990595611286
wheresrickscott,1,0.3134796238244514
sciencestuff,1,0.3134796238244514
betterlatethannever,1,0.3134796238244514
govrickscott,1,0.3134796238244514
science,16,5.015673981191222
wildlife,15,4.702194357366771
p2,2,0.6269592476489028
resist,4,1.2539184952978055
impeachtrump,2,0.6269592476489028
globalwarming,12,3.761755485893417
climatechange,37,11.598746081504702
notscott,3,0.9404388714733543
bigsugardaddy,1,0.3134796238244514
rickslim,1,0.3134796238244514
notoursenator,1,0.3134796238244514
toolate,1,0.3134796238244514
gtfo,1,0.3134796238244514
smh,2,0.6269592476489028
traveltuesday,1,0.3134796238244514
pricksnott,1,0.3134796238244514
gop,7,2.19435736677116
shadyrickscott,1,0.3134796238244514
occupy,2,0.6269592476489028
independents,1,0.3134796238244514
ourrevolution,1,0.3134796238244514
environment,33,10.344827586206897
standyourground,2,0.6269592476489028
boaters,1,0.3134796238244514
bluewave2018,3,0.9404388714733543
atn,1,0.3134796238244514
ambassades,1,0.3134796238244514
indivisible,1,0.3134796238244514
democrats,4,1.2539184952978055
sciencematters,1,0.3134796238244514
climate,6,1.8808777429467085
nature,4,1.2539184952978055
marinelife,16,5.015673981191222
kbrevis,14,4.38871473354232
waitingforfallinnewengland,1,0.3134796238244514
ftmeyers,2,0.6269592476489028
gcl,2,0.6269592476489028
cedrdigital,2,0.6269592476489028
gillumforgovernor,2,0.6269592476489028
seaturtles,3,0.9404388714733543
stpetes,1,0.3134796238244514
bluealgae,6,1.8808777429467085
reporterlife,2,0.6269592476489028
jobs,1,0.3134796238244514
voteblue,25,7.836990595611286
neveragain,6,1.8808777429467085
cleanseas,3,0.9404388714733543
fishkill,19,5.956112852664576
vacationgoals,2,0.6269592476489028
livingthedream,2,0.6269592476489028
undertow💋💕👣🍹🏖,2,0.6269592476489028
angling,2,0.6269592476489028
fishinglife,3,0.9404388714733543
bassfishing,2,0.6269592476489028
mullet,3,0.9404388714733543
dovedailyupdate,8,2.507836990595611
fwc,9,2.8213166144200628
stateofemergency,5,1.5673981191222568
seafood,3,0.9404388714733543
snookseason,4,1.2539184952978055
catchandrelease,6,1.8808777429467085
hunting,1,0.3134796238244514
osn,1,0.3134796238244514
snook,15,4.702194357366771
tbt,2,0.6269592476489028
wtf,1,0.3134796238244514
vote,4,1.2539184952978055
zika,3,0.9404388714733543
healthcare,2,0.6269592476489028
backgroundscreen,1,0.3134796238244514
bigag,1,0.3134796238244514
bigpharma,2,0.6269592476489028
forthepeople,1,0.3134796238244514
vacation,3,0.9404388714733543
habs,7,2.19435736677116
pollution,81,25.391849529780565
votethemout,2,0.6269592476489028
sanibel,40,12.539184952978054
bluegreenalgae,6,1.8808777429467085
watercrisis,19,5.956112852664576
voteblue2018,9,2.8213166144200628
ftlauderdale,9,2.8213166144200628
billnelson,3,0.9404388714733543
medicareforall,2,0.6269592476489028
toxicalgea,16,5.015673981191222
waterislife,12,3.761755485893417
waterquality,11,3.4482758620689653
votebluetosaveamerica,2,0.6269592476489028
cleanwater,17,5.329153605015674
dolphin,1,0.3134796238244514
marcorubio,2,0.6269592476489028
gunviolence,1,0.3134796238244514
trivia,1,0.3134796238244514
andrewgillum,1,0.3134796238244514
laborday,3,0.9404388714733543
toxicalgae,28,8.77742946708464
labordayweekend,3,0.9404388714733543
factsmatter,4,1.2539184952978055
truth,3,0.9404388714733543
beachlife,5,1.5673981191222568
ecosystem,4,1.2539184952978055
waters,2,0.6269592476489028
sealife,2,0.6269592476489028
phosphate,4,1.2539184952978055
mining,2,0.6269592476489028
cyanobacteria,3,0.9404388714733543
rapture,1,0.3134796238244514
corruption,8,2.507836990595611
health,6,1.8808777429467085
sheffieldissuper,4,1.2539184952978055
tweetmaster,4,1.2539184952978055
dieoff,3,0.9404388714733543
animals,4,1.2539184952978055
ycot,1,0.3134796238244514
tcot,1,0.3134796238244514
pjnet,1,0.3134796238244514
conservative,1,0.3134796238244514
thisisislam,1,0.3134796238244514
fiverr,1,0.3134796238244514
usrc,3,0.9404388714733543
interviewrestartleader,1,0.3134796238244514
sundaymotivation,4,1.2539184952978055
bringithome,2,0.6269592476489028
growyourowntherapy,1,0.3134796238244514
climateaction,5,1.5673981191222568
gophypocrisy,2,0.6269592476489028
theresistance,2,0.6269592476489028
conservationoptimism,1,0.3134796238244514
midtermelections,1,0.3134796238244514
swatclimate,1,0.3134796238244514
toxic,13,4.075235109717868
algaeblooms,5,1.5673981191222568
peopleswalkforwildlife,3,0.9404388714733543
wildlifecrime,2,0.6269592476489028
toxic2018,2,0.6269592476489028
occupyearth,2,0.6269592476489028
occupy4animals,2,0.6269592476489028
animalrights,2,0.6269592476489028
thereisnoplanetb,2,0.6269592476489028
trumpmaga,4,1.2539184952978055
