text,username,time,image,location,engagement,label
"Toxic #redtide blooms are persisting off of #Florida's #GulfCoast along #Pasco, #Pinellas, #Manatee, #Sarasota, #Charlotte and #Lee counties. Although, they are no longer moving north and may be actually receding from the northwest. @wusf . https   wusfnews wusf usf edu environment 2021 08 04 while red tide blooms persist they dont seem to be spreading north",JMMeszaros,2021-08-04,https://pbs.twimg.com/profile_images/1346968771748114434/SuJXG2gN_normal.jpg,Pasco,8,
RT @HuffPost: Hundreds of thousands of fish have been reported dead along St. Petersburg’s coast from the major algae bloom. . https   www huffpost com entry florida red tide spreading gulf coast_n_5b96648de4b0511db3e46348,mccurry8,2018-09-11,https://pbs.twimg.com/profile_images/1605183386443608064/Cb-Qs33p_normal.jpg,Pinellas,95,
Red tide lingers around Anna Maria Island as bloom intensifies in Tampa Bay area  . https   www bradenton com news local article270059027 html,bradentonherald,2022-12-16,https://pbs.twimg.com/profile_images/1422199020395577348/BNoyXuoP_normal.jpg,Manatee,398,
"RT @axios: JUST IN: Florida Gov. Ron DeSantis again refused to declare a state of emergency for Tampa Bay's ongoing red tide, despite pleas from the city of St. Petersburg, environmentalists and activists. . https   www axios com ron desantis tampa bay red tide state of emergency 334ecd4c 700c 4a1e 8f99 2495d22c84a9 html",litlgrey,2021-07-21,https://pbs.twimg.com/profile_images/890954039755714560/T0NGbKaV_normal.jpg,Pinellas,363,
"A Charlotte County Marine Deputy found this manatee stuck on a sandbar in Lemon Bay 5 hours ago. It's paralyzed due to the red tide, but still alive and able to breathe. A good Samaritan (pictured) is helping the deputy. #Florida #RedTideRick . https   twitter com altNOAA status 1024750915922878472 photo 1",altNOAA,2018-08-01,https://pbs.twimg.com/profile_images/824692083180986368/ghs8RK-P_normal.jpg,Sarasota,134,other
My administration &amp; @FLDEPNews have committed more than $2 million to respond to red tide in Tampa Bay. Cleanup efforts are underway &amp; @MyFWC has enhanced monitoring efforts year-over-year by 165%.. ,GovRonDeSantis,2021-07-18,https://pbs.twimg.com/profile_images/1620515880856584192/v0rmmdSi_normal.jpg,Hillsborough,5138,
"There is a HIGH risk of respiratory irritation from red tide at some beaches in Manatee and Pinellas Counties over the next 36 hours according to @NWSTampaBay. 

#FLwx . https   twitter com NWSTampaBay status 1606273189662769155",JustinBallardWx,2022-12-23,https://pbs.twimg.com/profile_images/1558700451280965632/aP5EfOoR_normal.jpg,Pinellas,299,media
"Sadly St Pete Beaches are inundated with Red Tide, rotting fish and noxious air that makes you cough. We can’t pretend it isn’t happening ⁦@GovRonDeSantis⁩. Time to declare state of emergency, draw down federal funds and protect public health. . https   news yahoo com desantis refuses state emergency tampa 183332942 html",RepDarrenSoto,2021-07-24,https://pbs.twimg.com/profile_images/1268566855909851136/pMeXN2R2_normal.jpg,Pinellas,172,
"Fish kills from red tide continue to pollute the waters around downtown St. Petersburg, and smaller die-offs were reported in Pasco, Hillsborough, Manatee and Sarasota counties.
. https   wusfnews wusf usf edu environment 2021 07 14 fwc report finds lingering high concentrations of red tide in tampa bay",wusf,2021-07-15,https://pbs.twimg.com/profile_images/882569215559028736/RMkZ8wkh_normal.jpg,Pasco,3,
"Here's what Red Tide looks like offshore of Tampa Bay:
. https   www tampabay com news environment 2022 12 19 how long does red tide last florida 2022 fwc",TB_Times,2022-12-23,https://pbs.twimg.com/profile_images/1066713591246725120/wFmoB0Xs_normal.jpg,Hillsborough,2690,media
"RT @EdTruman3: On Florida’s Gulf Coast, fish kills suspected to be related to red tide were reported in Hernando, Pasco, Pinellas, Hillsborough, Manatee, Sarasota, Charlotte, Lee, and Collier counties over the past week. For more details, please visit:  . https   www tampabay com news environment 2021 07 24 red tide suspected as manatees deaths pile up in tampa bay",D1veBum,2021-08-03,https://pbs.twimg.com/profile_images/1615870250586603521/Og9-1ZCg_normal.jpg,Pasco,2,
"Florida Fish and Wildlife officials just released a mid-week Red Tide report. They say over the past week, K. brevis was observed in or offshore of Escambia, Santa Rosa, Okaloosa, Bay, Franklin, and Pasco counties. “Medium” concentrations were observed in Santa Rosa County. . https   twitter com WJHG_TV status 1062806174142210052 photo 1",WJHG_TV,2018-11-14,https://pbs.twimg.com/profile_images/1192194038025338880/7WSXvEk4_normal.jpg,Pasco,3,media
Mote aims to help shellfish farmers bounce back from red tide bouts faster | @WFLAAllyson reports  . https   www wfla com news sarasota county mote aims to help shellfish farmers bounce back from red tide bouts faster. https   twitter com WFLA status 1607524558227005440 photo 1,WFLA,2022-12-26,https://pbs.twimg.com/profile_images/1539812844660719616/2FlxM4l8_normal.jpg,Sarasota,2821,media
What happens when millions of dead fish wash up on a beach? Beach maggots... This is Blind Pass on #ManasotaKey between #Englewood and #Venice #Florida (per FB user video). Who's up for vacation? #RedTide . https   twitter com altNOAA status 1030879361262657536 video 1,altNOAA,2018-08-18,https://pbs.twimg.com/profile_images/824692083180986368/ghs8RK-P_normal.jpg,Sarasota,147,other
Just in: The FL Dept. Health in Pasco County says red tide is now off the coast of Pasco. There’s a bloom near Anclote River Park Beach. @BN9 . https   twitter com TimWronka status 1408122263422050305 photo 1,TimWronka,2021-06-24,https://pbs.twimg.com/profile_images/961278333064499203/ZciEPy42_normal.jpg,Pasco,3,
