created_at.x,text,Sentiment
2018-01,"So the upshot was that Boca Ciega bay behind the Gulf beaches became so foul that all the fish died. Then, between about 1998 and 2007 we had 3 immense outbreaks of red tide,. ",-0.5574
2018-01,"Reasons of 538 manatees deaths in Florida 2017.

ST. PETERSBURG — Red Tide algae blooms and speeding boaters... . https   www tampabay com floridas best beaches 2018 01 11 florida says 538 manatees died in 2017 the third highest total on record",0.1531
2018-03,"@Benito35ddDavis Wait.  You're in Tampa? I'm in St. Pete. I work in Tampa. I remember when he closed his office. But you know how the winds blow here Red Tide blows everywhere. LOL

I hate to this say about a member of my Latino Community but Cubans tend be quite authoritarian hence the GOP love.. ",-0.0645
2018-05,"@Kokomothegreat They get a 'red tide' in the golf (Ft Laud/St Pete) area but it's not pretty. In that case, the organisms take oxygen out of the air. ☠️. ",-0.5334
2018-06,"Hurry hurry!  No red tide where we ride SALE!  Use code Red and get $10.00 of each rider for this, Saturday 6/16/18 only. A few spots still available.  St. Petersburg location only.. ",-0.4184
2018-06,"RT @cponies10: Hurry hurry!  No red tide where we ride SALE!  Use code Red and get $10.00 of each rider for this, Saturday 6/16/18 only. A few spots still available.  St. Petersburg location only.. ",-0.4184
2018-06,Yay CLEAR Water and no #redtide Traveling further and further afield staying away from Karenia B’s toxic soup 😷#663coastalyomper @ Sunshine Skyway Bridge . https   www instagram com p Bka6BQ7Br9z,0.8286
2018-07,"#TrumpTampa Make Me Glad I Live In St Petersburg. The Only Thing Worse Than Trump Rally Is Rick Scott Too. They Truly Are A ""Gruesome Twosome"". #BlueWave2018 #FlipFloridaBlue #BillNelsonForSenate #SaveOurOceans #RedTide #NeverTrump #NeverScott #Resist #Florida 💙🌴🦈🐠🐡🐬😎 . https   twitter com altNOAA status 1024369592473460736",0.4215
2018-07,"RT @terrig103: #TrumpTampa Make Me Glad I Live In St Petersburg. The Only Thing Worse Than Trump Rally Is Rick Scott Too. They Truly Are A ""Gruesome Twosome"". #BlueWave2018 #FlipFloridaBlue #BillNelsonForSenate #SaveOurOceans #RedTide #NeverTrump #NeverScott #Resist #Florida 💙🌴🦈🐠🐡🐬😎 . https   twitter com altNOAA status 1024369592473460736",0.4215
2018-08,The k. brevis algae bloom #RedTide affecting Southwest Florida has not affected beaches north of Sarasota County. We are very busy at BeachHorses in Bradenton and at WaterHorses in St. Pete. . https   twitter com BeachHorsescom status 1024780317641646081 photo 1,0.1139
2018-08,@BeachHorsescom Are they public beaches? If so what time do@you open?. ,0.0
2018-08,Please you guys don't let this little Trump wanna be get elected in Florida. My son and I went down to St Pete and Miami for some baseball last year. I can't imagine the slime that will accumulate if he gets the votes. Worse than any red tide or hurricane. Watch out for copy cats . https   twitter com PuestoLoco status 1024839403900948480,-0.2023
2018-08,RT @grinningpicking: Please you guys don't let this little Trump wanna be get elected in Florida. My son and I went down to St Pete and Miami for some baseball last year. I can't imagine the slime that will accumulate if he gets the votes. Worse than any red tide or hurricane. Watch out for copy cats . https   twitter com PuestoLoco status 1024839403900948480,-0.2023
2018-08,"@Goss30Goss You Can Take The Red Neck Out Of The Bar But You Can't ""Bar"" A Red Neck From A #TrumpRallyTampa  ...""If You're At A Trump Rally...You Just Might Be A Red Neck."" Happy I'm St. Pete ...Right Now More Red Tide Than Red Neck. #Florida #VetsResistSquadron #TrumpIsTheEnemyOfThePeople . https   twitter com terrig103 status 1025188867727667201 photo 1",0.7227
2018-08,"RT @terrig103: @Goss30Goss You Can Take The Red Neck Out Of The Bar But You Can't ""Bar"" A Red Neck From A #TrumpRallyTampa  ...""If You're At A Trump Rally...You Just Might Be A Red Neck."" Happy I'm St. Pete ...Right Now More Red Tide Than Red Neck. #Florida #VetsResistSquadron #TrumpIsTheEnemyOfThePeople . https   twitter com terrig103 status 1025188867727667201 photo 1",0.7227
2018-08,hey tampa area mutuals are the beaches up there (like st pete area) all good and red tide free?. ,0.4404
2018-08,"We just opened a 1:30 ride in St. Petersburg for Saturday. Hurry and book, it won't last long. No red tide and, the weather has been perfect!. ",0.2914
2018-08,@xoxpaigee i’ve been beachin but 🤷🏽‍♀️. ,0.0
2018-08,@lightsonathena we're there dead fish. ,-0.6486
2018-08,Ms. Isis Marshall with a nice slot snook (her first ever) that she caught and released while fishing with me today at Fort Desoto Park. No red tide or dead 💀 fish 🎣 ✅@softsciencecorp @Sunsect15 @OfficialMauiJim @reelanimalsfish @MarkhamCapt @FIFRTV @simmsfishing @FlatsClass . https   twitter com beachsnooker status 1025544079097122818 photo 1,-0.5719
2018-08,@xoxpaigee nope only alive ones. ,-0.2924
2018-08,"Over 16 tons of dead fish removed from #Sarasota county beaches. Red tide expected to move north past the mouth of #TampaBay, up to Pinellas County - #StPete and then #Clearwater. We have been betrayed by state government, electorate voting for gop &amp; apathetic Democrats #Florida. ",-0.8885
2018-08,"RT @SarasotaMermaid: Over 16 tons of dead fish removed from #Sarasota county beaches. Red tide expected to move north past the mouth of #TampaBay, up to Pinellas County - #StPete and then #Clearwater. We have been betrayed by state government, electorate voting for gop &amp; apathetic Democrats #Florida. ",-0.8885
2018-08,"@tweetwizzo Hope you have a great time, we are at St Pete from the 18th, hope the red tide stays away.. ",0.872
2018-08,@amart6 @stpetebeach Is there any talk of red tide coming to St. Pete?  Coming there Friday. ,0.0
2018-08,"#HandsAlongTheWater St.Petersburg
#RedTide #LakeOkeechobee . https   twitter com HATWFL status 1026314998275080195 photo 1",0.0
2018-08,St Pete Beach - First Monday in August 2018. I will share a couple of shots from this morning. The first was taken at 6:29 AM and the second was taken at 7:04 AM on my bike ride. No Red Tide on St Pete Beach... yet! #sunrise @spann @bn9weather @VSPC . https   twitter com kevinwkorth status 1026437340573691905 photo 1,0.0
2018-08,RT @kevinwkorth: St Pete Beach - First Monday in August 2018. I will share a couple of shots from this morning. The first was taken at 6:29 AM and the second was taken at 7:04 AM on my bike ride. No Red Tide on St Pete Beach... yet! #sunrise @spann @bn9weather @VSPC . https   twitter com kevinwkorth status 1026437340573691905 photo 1,0.0
2018-08,RT @kevinwkorth: St Pete Beach - First Monday in August 2018. I will share a couple of shots from this morning. The first was taken at 6:29 AM and the second was taken at 7:04 AM on my bike ride. No Red Tide on St Pete Beach... yet! #sunrise @spann @bn9weather @VSPC . https   twitter com kevinwkorth status 1026437340573691905 photo 1,0.0
2018-08,@AlongsideWild Sad to hear. We have six colonies along Gulf Coast in Pinellas County. Alberto devasted them but rebounded. One was decimated by a coyote. St. Pete Beach has 150 chicks. Many getting ready to fledge. Now we face an encroaching red tide.. ,0.296
2018-08,"#RedTide off #AnnaMariaIsland  green flag flying at lifeguard stands but @MoteMarineLab #BeachReport tells a different story.  #ManateeBeach dark water, INTENSE respiratory problems &amp; some dead fish. Pass-A-Grille showing water color change. Pinellas next? . https   visitbeaches org. https   twitter com IMascarenas status 1026468709093781504 photo 1",-0.8381
2018-08,"RT @IMascarenas: #RedTide off #AnnaMariaIsland  green flag flying at lifeguard stands but @MoteMarineLab #BeachReport tells a different story.  #ManateeBeach dark water, INTENSE respiratory problems &amp; some dead fish. Pass-A-Grille showing water color change. Pinellas next? . https   visitbeaches org. https   twitter com IMascarenas status 1026468709093781504 photo 1",-0.8381
2018-08,ON OUR FRONT PAGE: What's the latest on the red tide outbreak to the south? Visit St. Pete/Clearwater provides an update.. ,0.0
2018-08,"Yeah, it's Monday, but there's a lot to look forward to this week! Last week before the kiddos go back to school, so parents - enjoy! 
. https   theidentitytb com article around tampa bay red tide st pete pier",0.7846
2018-08,"This is not good news. Just found dead stinky fish on beach at the Rod and Reel Pier in the city of Anna Maria, north end of Anna Maria Island.  You can see St. Pete from here.  Red tide inches its way north. . https   twitter com SKeelerTimes status 1026557648945270784 photo 1",-0.8484
2018-08,"RT @SKeelerTimes: This is not good news. Just found dead stinky fish on beach at the Rod and Reel Pier in the city of Anna Maria, north end of Anna Maria Island.  You can see St. Pete from here.  Red tide inches its way north. . https   twitter com SKeelerTimes status 1026557648945270784 photo 1",-0.8484
2018-08,"RT @IMascarenas: #RedTide off #AnnaMariaIsland  green flag flying at lifeguard stands but @MoteMarineLab #BeachReport tells a different story.  #ManateeBeach dark water, INTENSE respiratory problems &amp; some dead fish. Pass-A-Grille showing water color change. Pinellas next? . https   visitbeaches org. https   twitter com IMascarenas status 1026468709093781504 photo 1",-0.8381
2018-08,RT @kevinwkorth: St Pete Beach - First Monday in August 2018. I will share a couple of shots from this morning. The first was taken at 6:29 AM and the second was taken at 7:04 AM on my bike ride. No Red Tide on St Pete Beach... yet! #sunrise @spann @bn9weather @VSPC . https   twitter com kevinwkorth status 1026437340573691905 photo 1,0.0
2018-08,"RT @SKeelerTimes: This is not good news. Just found dead stinky fish on beach at the Rod and Reel Pier in the city of Anna Maria, north end of Anna Maria Island.  You can see St. Pete from here.  Red tide inches its way north. . https   twitter com SKeelerTimes status 1026557648945270784 photo 1",-0.8484
2018-08,"RT @IMascarenas: #RedTide off #AnnaMariaIsland  green flag flying at lifeguard stands but @MoteMarineLab #BeachReport tells a different story.  #ManateeBeach dark water, INTENSE respiratory problems &amp; some dead fish. Pass-A-Grille showing water color change. Pinellas next? . https   visitbeaches org. https   twitter com IMascarenas status 1026468709093781504 photo 1",-0.8381
2018-08,My view today with my big boys while Baby sits in the hotel with baby girl. ❤️ thankful no red tide on st Pete beach! . https   twitter com NicoleSGrigg status 1026883897324445697 photo 1,0.4199
2018-08,"As #RedTide slowly migrates north along the Florida Suncoast, we want to share some important information with you:   has vital links and facts so you can keep you and your family safe! . http   www stpete org internal news detail_T2_R882 php. https   twitter com StPetePW status 1026933150927269888 photo 1",0.8268
2018-08,"RT @SKeelerTimes: This is not good news. Just found dead stinky fish on beach at the Rod and Reel Pier in the city of Anna Maria, north end of Anna Maria Island.  You can see St. Pete from here.  Red tide inches its way north. . https   twitter com SKeelerTimes status 1026557648945270784 photo 1",-0.8484
2018-08,No red tide on St. Pete Beach. Just my wild children. ❤️ . https   twitter com NicoleSGrigg status 1027196058106048513 video 1,-0.296
