word,frequency
xflteamnames,1
flwx,28
tampabay,673
florida,554
southwestflorida,2
tampa,249
floridas,37
trumptampa,6
flintwatercrisis,1
lovefl,61
sarasota,127
bradenton,12
hillsborough,15
annamariaisland,7
floridawatercrisis,1
stpete,52
clearwater,27
flapol,28
manatees,26
pmtampabay,9
orlando,61
palmbeach,17
miami,58
miamibeach,17
keywest,13
pinellas,36
lakeokeechobee,11
fortmyers,8
apalachicola,3
destin,4
evil,1
manatee,33
tampabays,2
beaches,19
gulfofmexico,27
epa,4
,8
august12th,2
englewood,3
venice,7
venicebeach,2
sunsets,2
indianshores,2
fla,3
stpetebeach,12
madeirabeach,2
siestakey,14
praying4fl,1
restoretheeverglades,1
longboatkey,4
fish,36
fllife,1
fl,15
florida…,1
flgov,13
flsen,12
fox35,3
gulfharbors,1
scottforflgovernor2018,1
flipitblue,2
floride,4
walkerforfl,1
progress,1
marcoisland,4
capecoral,3
ptcharlotte,2
gulf,4
floridamore,1
beach,19
stpetersburg,29
florida’s,17
jacksonville,31
tallahassee,8
floridatourism,5
paradise,2
naples,17
heat,1
summer,3
wfla,1
lakeo,1
floridaprimary,2
everglades,7
swfl,90
miamidade,5
miamifl,2
parkland,3
staugustine,1
pensacola,9
captiva,1
visitflorida,52
saveourgulf,1
floridaalgaecrisis,1
gulfcoast,31
siesta,2
tampabay…,1
floridabeaches,34
nationalbeachday,1
votebluetosaveflorida,3
ilovefl,5
rivers,3
clearwaterbeach,20
rt,1
flpolitics,4
westernflorida,1
visitfl,7
pinellascounty,20
floridamasternaturalist,1
visitfloirda,1
amtampabay,2
hurricaneflorence,2
treasureisland,1
wakeupflorida,9
loveflorida,2
naplesfl,1
flatsfishing,2
floridafishing,5
tampabayfishing,3
stpetefl,1
palmbeachfl,1
daytona,9
ocala,2
manateeriver,2
tampa…,2
costofliving,1
home,2
art,2
flpol,14
okaloosa,4
broward,7
fortlauderdale,11
panamacity,4
tampabaywater,2
water,20
floridapanhandle,1
panamacitybeach,1
honeymoonisland,5
deltona,2
dadecounty,2
homestead,1
kendall,1
flashbackfriday,2
fallinflorida,2
tarponsprings,2
trout,7
floridalife,2
floridavotesblue,2
hillsboroughcounty,6
pinellasbeaches,1
votebluetosavegulfh2o,1
brevardcounty,1
turnfloridablue,3
daytonabeach,2
naplesflorida,1
duck,1
new,2
manateecounty,7
helpfloridaheal,1
seaworldorlando,2
ami,2
cityoftampa,1
flstrawberryfestival,1
hillsboroughfl,1
manateeappreciationday,3
lee,4
collier,4
lakeland,1
southflorida,5
sarasotabay,20
america,4
wflaplus,1
westpalmbeach,1
jupiter,1
ocalanationalforest,1
bayscallops,1
floridacovid,5
savetampabay,3
biscaynebay,1
savefloridamarinelife,2
desantisfailedflorida,5
manateekills,2
floridafreedom,2
floridawastewater,1
floridaemergency,1
floridagovernor,1
bloom,3
flapoli,3
japannuclearwater,1
floridatourismbusinesss,1
floriduh,1
axiostampabay,22
charlotteharbor,16
charlottebeach,1
fluorothink,3
charlotte,2
flwater,4
toxicgulfofmexico,2
eth,1
votebluefl,2
floridablockchainsummit,2
uc,1
uconline,1
missiontampabay2021,2
wflanow,2
indianrocksbeach,1
jacks,2
dead,9
floridabeachers,2
champabay,2
nikkiforgovfl,1
flipfloridablue,1
billionaires,1
demcastfl,12
floridacovidcation,1
world,2
us,3
stpetersburgfl,2
savingtampastpete,2
apollobeach,1
flórida,1
alga,1
mor,1
bay,4
protectthebay,1
fishbirdsturtlesmanateesdolphins,2
tampabay…600,2
protectingfltogether,8
state,1
stepetefl,1
savetampa,1
floridalife🌴,1
fldoh,1
dontfaucimyflorida,2
floridastrong,1
not,1
phosphogypsum,1
floridians,2
for,1
stopreleasinglakeo,1
floridacleanwater,1
fluhruhdud,2
mytreasureisland,1
tampastpetersburg,2
stoparrestingdoctors,1
townhall,1
demandcleanwaterfl,1
tampabayfl,6
bluedot,1
dontgotoflorida,2
fox4now,1
sad,2
desantiskillsflorida,1
floridaisahotmess,2
floridaman,1
floridafood,1
tampabay’s,1
floridadeservesbetter,2
floridavacation,2
sarasotacounty,2
foultampabay,2
gulfbeaches,2
20yrsfloridagop,2
boycottflorida,3
auditflvotes,1
fluoride,3
toxicflorida,1
flaforresponsiblehealthpolicy,1
boycottfloridatourism,2
helpflorida,1
desantishurtsflorida,1
flipfloridabluein2022,1
sugar,2
floridawaters,1
surfside,1
killingfloridatourism,1
desantisfailedfloridaagain,3
toxictampabay,2
nationalwaterqualitymonth,1
swflorida,1
tampabayrays,1
sydney,1
sanford,1
dunedin,2
asafloridian,1
tampaparksandrecs,2
noticiastampahoy,1
love,1
worstflagovever,1
manateedeath,1
dinoflagellates,1
crossforflhouse,2
florecimiento,1
fan,1
everythingmanatee,1
savethemanatee,1
scienceisflorida,1
tentampabay,1
portoftampa,1
floridawater,1
floridanatural,1
stem,1
tampabayestuary,8
gulfcoat,1
gulfcoastflorida,6
gulfshellfish,1
fishinggulfcoast,1
slutfluff,2
renewableenergy,2
ian,1
miamiherald,3
orlandosentinel,3
tpa,1
dovetampabayforecast,1
10tampabay,1
feedthebay,1
tampaby,1
