word,frequency
pictures,2
dolphins,26
marinelife,10
sealife,4
caspersen,2
bucs,1
buccaneers,2
sportsroadhouse,1
springbreak2018,2
morningedtion,2
sayfie,17
demforce,2
bluewave2018,8
bluetsunami,4
globalwarming,4
savetheplanet,2
coquina,4
beachlife,12
vacation,4
upwith,8
ocean,16
turtletuesday,1
neverthelessshepersisted,1
sendthewatersouth,2
bluegreenalgae,6
bullsugar,3
protectwhatyoulove,3
saveourocean,1
deadfish,36
poison,2
disaster,11
stink,1
gross,1
stopdraining,1
placida,5
ruinedbeaches,1
manmade,4
663coastalyomper,6
algae,68
sargassum,1
pollution,85
bestsideoutside,4
kills,2
deadfiles,1
saveourseas,4
whatilearnedtoday,1
runoff,5
rickscott,62
cleanwater,25
nodumping,2
snook,3
centropomusundecimalis,1
allthefish,1
iguessilljustdrinkforvacation,1
waterfront,1
swimming,1
swimmingsuit,1
srqpost,4
saveourbeaches,3
a…,1
mytown,1
investigativejournalism,2
cleannotgreen,2
seaturtles,5
motemarinelab,3
weatherchannel,2
travel,12
environment,37
fishkill,30
airbnb,1
governor,2
domino,1
protest,4
republican,2
protectourbeaches,2
toxic2018,1
suncoast,15
ftmyerssanibel,1
turtlebeach,11
yachtclub,3
puntarassa,3
summerofdeath,13
stumppass,1
bigoil,1
ounceprotectionworthpoundcure,1
dosomethingordontbother,1
whosepocketareyouin,1
urnot4us,1
sarsota,1
algea,1
toxic,9
turtles,9
srq,16
ashamed,2
closingthebeaches,2
bigsugar,83
bp,2
oilspillussugar,2
sanibel,76
nightside,2
highwaytohell,1
santibel,1
algaebloom,29
sugarsellout,4
wrda,1
sendwatersouth,1
southwest,1
climatechange,28
wtsp,15
motherearth,2
thursday,4
siestabeach,9
notscott,5
watchthewater,1
votebillnelson,1
voteblue2018,7
readlocal,4
talkwalkeralerts,1
ecology,9
fishing,14
saltlife,5
seaworld,2
globalwarmingvacation,1
squirrels,1
voteblue,28
seaturtle,4
mote,7
newpass,1
longobat,1
enoughisenough,2
estereo,3
tourism,11
saveourcoast,2
savetheshore,2
destruction,3
piolife,1
lesm,1
cyanobacteria,3
greenfilm,1
greensludge,1
canals,1
atlanticocean,1
islesurfandsup,1
annamarie,1
weekendedition,2
boquina,1
bff,1
lovemyfriends,1
boatlife,1
dolphinviews,1
gmtb,2
nature,8
conserve,2
wildlife,12
climatechangeisreal,3
wftv,10
handsalongthewater,14
goliathgrouper,2
wonderful,1
livingthedream,1
toxic18,19
goodpeople,1
gop,9
nra,1
candidates,1
mote’s,2
beachreport,4
repost,3
coquinabeach,5
toxicalgae,72
brokenpier,1
skb,1
usa,16
documentary,1
doc…,1
deadshiteverywhere,1
motemarine,5
bringscienceback,2
deepwaterhorizon,1
rickscotthastogo,2
dovedailyupdate,7
fwc,9
noaa,1
sanibelisland,3
