word,frequency
turtles,4
fertilizer,15
ocean,12
bluewave,8
dolphins,5
puertorico,4
algae,57
trumpdoesnotcare,1
finsup,1
greenslime,1
repost,2
toxic18,2
upwith,6
sayfie,6
alwx,2
breaking,15
saveourenvironment,1
podcast,1
disgusted,1
humansruiningnature,1
savethesaltlife,1
aquaticlifeisindanger,1
help,2
republicans,9
fishing,41
marearoja,9
thisisacrisis,1
toxicwater,6
moscow,1
publichealth,9
environmental,5
knowyourmarket,2
tech,4
startup,2
innovate,2
business,2
response,2
gobucs,2
sigh,2
wftv,6
handsalongthewater,2
suncoast,6
eastcoast,2
usa,5
oceans,10
picoftheday,2
thepowerofprayer,1
qanon,1
wwg1wga,1
maga,6
trump,7
thestorm,1
beanpoint,2
wewantourbeachesback,1
fixthealgaeblooms,1
wisdomforourleaders,1
bigsugar,39
saltlife,5
fishing🎣,1
rickscott,25
wheresrickscott,1
sciencestuff,1
betterlatethannever,1
govrickscott,1
science,16
wildlife,15
p2,2
resist,4
impeachtrump,2
globalwarming,12
climatechange,37
notscott,3
bigsugardaddy,1
rickslim,1
notoursenator,1
toolate,1
gtfo,1
smh,2
traveltuesday,1
pricksnott,1
gop,7
shadyrickscott,1
occupy,2
independents,1
ourrevolution,1
environment,33
standyourground,2
boaters,1
bluewave2018,3
atn,1
ambassades,1
indivisible,1
democrats,4
sciencematters,1
climate,6
nature,4
marinelife,16
kbrevis,14
waitingforfallinnewengland,1
ftmeyers,2
gcl,2
cedrdigital,2
gillumforgovernor,2
seaturtles,3
stpetes,1
bluealgae,6
reporterlife,2
jobs,1
voteblue,25
neveragain,6
cleanseas,3
fishkill,19
vacationgoals,2
livingthedream,2
undertow💋💕👣🍹🏖,2
angling,2
fishinglife,3
bassfishing,2
mullet,3
dovedailyupdate,8
fwc,9
stateofemergency,5
seafood,3
snookseason,4
catchandrelease,6
hunting,1
osn,1
snook,15
tbt,2
wtf,1
vote,4
zika,3
healthcare,2
backgroundscreen,1
bigag,1
bigpharma,2
forthepeople,1
vacation,3
habs,7
pollution,81
votethemout,2
sanibel,40
bluegreenalgae,6
watercrisis,19
voteblue2018,9
ftlauderdale,9
billnelson,3
medicareforall,2
toxicalgea,16
waterislife,12
waterquality,11
votebluetosaveamerica,2
cleanwater,17
dolphin,1
marcorubio,2
gunviolence,1
trivia,1
andrewgillum,1
laborday,3
toxicalgae,28
labordayweekend,3
factsmatter,4
truth,3
beachlife,5
ecosystem,4
waters,2
sealife,2
phosphate,4
mining,2
cyanobacteria,3
rapture,1
corruption,8
health,6
sheffieldissuper,4
tweetmaster,4
dieoff,3
animals,4
ycot,1
tcot,1
pjnet,1
conservative,1
thisisislam,1
fiverr,1
usrc,3
interviewrestartleader,1
sundaymotivation,4
bringithome,2
growyourowntherapy,1
climateaction,5
gophypocrisy,2
theresistance,2
conservationoptimism,1
midtermelections,1
swatclimate,1
toxic,13
algaeblooms,5
peopleswalkforwildlife,3
wildlifecrime,2
toxic2018,2
occupyearth,2
occupy4animals,2
animalrights,2
thereisnoplanetb,2
trumpmaga,4
waterslife,4
ecodefenders,1
ecouprising,1
biodiversidad,1
biodiversity,1
planet,1
biodiversité,1
animalwelfare,1
planetpower,1
stopextinction,1
vaping,1
opioids,1
invasion,1
live,3
fishkills,8
toxicalgaerick,1
medicarefraudrick,1
climatechangedenierrick,1
nolightrailrick,1
cancelmedicaidrick,1
trumpbffrick,1
scuba,2
feedly,7
onehealth,2
votenelson,1
votegillumking,1
eaglesnation,1
phenomenon,3
deadzone,3
l…,1
oceandeadzones,2
climatechangeisreal,2
irma,1
harmfulalgalblooms,1
sharkcon,1
actonclimate,2
defendclimate,2
thingstodo,1
fitness,1
today,1
wastewater,15
marketing,1
tourism,10
map,1
pollutioin,1
votegillum,6
weekinreview,2
protest,2
zeka,1
environmet,1
collegelife,2
famu,8
ucf,10
uf,1
fau,9
fsu,2
wakenbait,2
linesider,2
inshorefishing,4
getbaited,2
museumday,1
free,1
votebluevote,1
waterpollution,3
upwithbrightside,2
jax,2
highlights,1
beauitful,2
economic,2
weird,1
odd,1
strange,1
immigration,1
canadian,1
ctl,1
theburg,2
thankfulsunday,1
oilpainting,2
forsale,2
office,2
anywhere,2
original,2
prints,2
conservation,7
artist,2
celebrities,2
goalsonsunday,2
darkhumor,1
darkart,1
skeleton,1
nadasagrada,1
sethmannino,1
inspiration,1
creative,1
sunshinecity,1
depressing,1
superboat,1
seaturtle,2
abnormallyhot,1
regulations,2
digitalshort,2
voteemout,1
sobewff,1
kiteboarding,2
supportlocalbusinesses,1
ftmyers,4
unf,6
brettkavanaugh,1
gillum,1
desantis,41
rondesantis,10
governorgillum,2
sustainability,2
hurricanemichael,12
hurricane,3
marvel,1
mcu,1
hurricanemicheal,1
senate,2
cronyism,1
climatescience,1
dyk,1
takewarning,1
dinelocal,2
risingoceans,1
climatedeniers,1
fishingreport,2
dufus,1
fnmoron,1
partybeforeprinciples,1
connedbydon,1
protestants,1
usarmy,1
baptists,1
usairforce,1
evangelists,1
usnavy,1
mormons,1
usmc,1
midterms2018,1
rapepublican,4
racistpublican,2
houstonrally,1
fatalcrash,1
worldseries,1
nelsonforsenate,1
panhandlestrong,1
hepatitisa,1
hamburgermarys,1
powerball,1
permit,2
scary,2
governor,2
shameful,1
hatespeech,1
political,4
greed,3
ignorance,2
blackfriday,1
smallbusinesssaturday,1
cybermonday,1
respiratory,2
wednesdaywisdom,3
dolphindeaths,2
algalblooms,5
marinemonday,2
exclusive,2
googlealerts,119
trumpshutdown,1
beercanisland,1
realestate,2
hurricaneseason2019,1
gobolts,6
bloodpressurerecall,1
clea…,1
wannabeleader,1
bivalve,1
iamsportsman,4
thisisfishing,2
wednesdaymotivation,2
nra,1
marinescience,9
climatecrisis,23
verticaloystergarden,2
sugardaddies,1
climatedenier,1
wtsp,3
nightside,1
reading,2
nandyycristy,1
kmart,1
nofreeparking,1
sttpetersburg,1
bythenumbers,1
republican,5
cubanos,1
cannabisordinance,1
ryannewman,1
coronavirus,1
rainbowsnake,1
annkellywduv,3
springbreak,1
coronavirusoutbreak,1
bluegreenlalgae,1
didyouknow,1
covidreliefpackage,1
superbowllv,1
4,1
capitolriot,2
qanoncult,2
doyourjob,1
cancers,1
losthomes,1
notourism,1
deaddirt,1
pineypoint,192
cruiseships,1
1,9
deathsantis,172
sunshinecoast,2
infrastucture,2
mcconnell,2
economics,3
toxins,2
radioactive,7
campaignfinancereform,2
phosphorous,1
nitrogen,3
healthrisk,1
mandatoryevacuations,1
waste,1
hab,2
pineypoint’s,1
phosphateplant,1
gypsumstacksouthpond,1
oceanpollution,4
oceanconservation,4
savetheocean,2
savetheplanet,2
gofundme,2
nonprofit,3
skywaybridge,2
39canimals,1
pineypointupdate,2
greenwall,1
superfungifilm,1
covidiots,3
canetoads,1
topstories,1
trending,8
mainstories,1
now,1
vixc,1
piney,1
algaebloom,10
aquaticecology,2
garysgotanswers,2
leadership,3
onepluswatch,1
republicansaretoxic,1
contaminated,3
taxpayers,1
cleanups,1
removeron,33
waterfront,1
sugartoads,2
voteblue2022,9
davidkihara,1
bluegreenalgaedesantis,1
disney,3
votersuppression,1
covid19,27
sick,1
humansareadisgrace,2
nutrients,6
stormwater,4
runoff,2
bolts,3
raysup,1
healthadvisory,2
cryptocurrency,1
blockchain,1
crypto,1
ethereum,1
btc,1
litecoin,1
altcoins,1
bitcoins,1
ripple,1
cryptomining,1
coinbase,1
cryptocurrencies,1
investing,1
votethemallout2022,3
desantismustbedethroned,1
desanitize,2
ufwildlife,1
goldcoast,2
weather,3
deadfish,17
reefs,1
seagrass,13
riverharborwest,1
blenkersmarina,1
harmfulalgaebloom,5
karen,1
radio,1
radiostpete,1
itunes,2
wrpbks,2
summer2021,2
pineypointspill,3
hrkdestruction,1
insurance,1
lawfirm,1
secoora,2
sunlessstate,2
tvisland,1
spieseyes,2
elsa,19
hurricaneelsa,10
nuclearwaste,1
motemarine,2
environmentaldisasters,2
voteblue🌊🗳,1
pineypiont,1
headlines,2
summertime,1
weatherchannel,4
massivefishkills,3
fishwarzone,1
nomorechemicalsinthewater,1
desantis2024,4
cuba,2
drudge,3
arresttrumpnow,1
votethemallout,2
restoreourclimate,1
secooras,2
remix,1
wolbachiainfected,1
cancer,1
oncology,1
radiology,1
coroners,1
firerubio,1
travel,2
happs,1
rpofpos,1
desantisneedstogo,1
resign,1
republicansdontcare,1
saveouroceans,2
sowrong,2
politics,2
lettucepray,1
mustread,3
npr,1
delta,5
deltavariant,6
cubasos,2
environmentaldestruction,2
toowarm,2
intercoastal,1
ecology,1
biology,1
600tons,1
discovery,2
technology,2
research,8
scientists,2
nooneunscripted,1
climateemergency,6
collected,1
hours,1
rampingup,1
retireron,6
covid,14
desantisknows,1
dunno,1
meeresforschung,2
fishandwildlife,1
calltoaction,1
traitor,1
climatecrises,1
toxicwaste,2
repug,1
kills,1
eua,1
marévermelha,1
kareniabrevis,4
plâncton,1
bigoil,1
pollutionkills,1
environmentalcrisis,1
localbusiness,1
snl,1
work,1
keeptheban,2
eeuu,1
asthma,2
copd,2
drtracyfanara,2
inspectorplanet,2
sisterinscience,2
storm,2
picnicislandpark,2
alertstormwater,1
captainsforcleanwater,2
dyingplanet,2
pineypoints,2
catostropic,2
marine,5
sticking,1
pecesmuertos,1
peces,3
estadosunidos,1
unitedstates,2
golfodemexico,1
followthemoney,1
deadfishdesantis,2
wifemomrealtorlife,1
saturdayvibes,1
saturdaymorning,1
rondeathsantis,7
heldaccountable,1
desantisresign,1
arrestdesantis,1
deathsantis🤬🤬🤬🤬,1
adhd,1
rickscottfail,1
rondesantisfail,1
tiktok,10
donaldtrump,2
hitler,1
recalldeathsantis,1
rondementis,1
votecrist2022,1
desantismustgo,1
votedesantisout,1
where,1
phosphatewaste,1
savestpete,1
coverup,4
ecocide,2
shorelines,1
nooriginalthought,1
desantisfailure,1
saveourchildren,1
desantisiscorrupt,1
votehimout,5
gopcorruptionovercountry,2
gopbetrayedamerica,1
move,1
bye,1
savethekid,2
worstgovernorever,1
2,2
cruise,3
dontdesantismyamerica,1
dontdesantismydemocracy,1
rontheripperdesantis,1
ronran,2
vaccinated,1
pandemicoftheunvaccinated,1
wearamask,2
toxicspill,3
truthmatters,2
dontswiminthewater,2
greennewdeal,3
stayhome,2
ubi,2
automationforgood,2
essentialworkers,2
deregulation,2
wethepeople,1
manpower,1
ignoring,1
birds,1
emergency,2
ego,1
hearn,1
scienceandenvironment,2
tropicalstormelsa,2
help🆘,2
bullshitdesantis,1
desantisvariant,7
globalheating,1
desantisize,3
texas,1
trumpswall,1
newyork,2
vaccinessavelives,2
maskup,2
rays,1
fauci,2
duhsantis,5
landsat,2
sentinel3,2
myfwc,1
cleanoceans,2
ecohabitat,2
apocolypse2021,1
deathbydesantis,1
vaccine,1
reelection,2
polluting,2
whatshappeninginmyanmar,1
july20coup,1
moron,3
agtech,1
biontech,1
nutrientrunoff,1
cleanfarms,1
sustainableagriculture,1
hypocrisy,2
antropocene,1
outoftime,1
wecantlosethis,1
sosusa,1
wecouldhavehadbernie,1
thelockdowncontinues,1
aintnobeach,1
toxicron,1
verano,2
agriculture,2
5gnotsofast,1
sameparkbench,1
phospatemining,1
onev1,13
ovhealthcare,2
zabedrosky,2
1termgov,2
votethenaziout,2
govdeathsantis,1
voteblue4u,1
newrules,1
mustseetfc,2
swimming,2
stinky,3
smell,2
tourists,2
lisst,1
oceanscience,1
algalbloom,1
vaccines,1
medicaidexpansion,1
coronsavirus,1
rememberinnovember2022,1
boating,3
ecological,1
disaster,3
pinnelascounty,1
crisis,1
s…,1
corporations,2
ecokiller,1
gonorth,1
getvaccinated,4
greenpeace,1
earthsnewphase,2
bucs,1
brady,1
roncantbetrusted,1
bronchitis,2
votedesantisout2022,1
saveourplanet,4
trumpvirus,1
fascist,1
kochnetwork,1
fascism,1
resistance,1
cantfixstupid,1
gangofpolluters,1
restaurants,1
bars,1
8onyoursides,1
canada,2
canadians,2
wtpblue,4
desantisdisasterzone,1
trumpplaybook,1
regulatefertilizeruse,1
worstelectedofficialever,1
gotsof,1
ronbegone,2
donaldjdesantis,2
posrpof,1
makethepledge,2
demvoice1,3
2022,1
jimjones,1
votehisassout,1
neverforgetjanuary6th,1
heren,1
gqp,1
dumpdeathsantis,1
endthisnightmare,1
ilduce,1
dedoofus,1
swine,1
trumpliedwedied,1
gettheshot,2
getvaccinatednow,3
voteouteverygop,1
voteouteveryrepublican,1
criminal,1
cleanup,1
physicaloceanography,2
pandemic,2
govrondisaster,1
hypocrite,1
somethingnew,5
sameoldshit,1
icymi,2
nikkifried,1
goprdictators,1
checksinthemail,1
endcorruption,1
voteherout,1
timeforchange,1
deathdesantis,8
gypstackjuice,1
edtd,2
imwithher,1
pineypointistoxictonature,1
mareerouge,2
futuraplanete,2
tackleclimatechange,2
votebluein22,2
waterfrontrealestate,1
phosphatemines,2
syntheticfertilizer,2
glyphosate,2
unmask,1
vaxdontwork,1
environmentaldisaster,1
resigndesantis,1
climatechangeisnow,2
deathnet,1
trumplies101,2
capstonequestionworthy2122,1
wednesdaymorning,3
environmentalissues,1
desantisterrorist,1
defundthepolice,1
blm,1
champs,1
tfg,1
gqps,1
saveourbeaches,1
covidisnotover,1
nikkifriedforgovernor,1
freshvoicesrise,2
genocidal,1
whitesupremacist,1
jimcrow,1
nazism,1
putin,1
disgraceful,1
جيش,1
developers,1
respiratoryillnesses,1
cleanwatersolutions,2
republicansaretheproblem,1
gopgenocide,1
retreats,1
severeweather,1
elderly,1
crime,1
bitcoin,1
fbi,1
voteintegrity,1
election2020,1
paperwork,1
idrequirement,1
leftwing,1
liberal,1
leftist,1
feminism,1
antifa,1
gqptraitorstodemocracy,1
